condition,weight,volume,description,id
3,3,3,The quality of this item is assured by Hubbub. Like new product; some small dings but it's barely used and in great condition! Email me at adb2189@columbia.edu for more pictures if interested.,1
3,1,1,"Basic blender with two blender bottles that allow you to take smoothies to go! Works great. Good, personal blender.",2
3,1,1,Standard issue desk lamp.  Comes with light bulb. Excellent condition.,3
3,2,2,"Great condition air mattress. Thick mattress, internal air pump fills it quickly. Comfortable and clean.",5
3,3,1,Essentially brand new 20lb dumbbells. Amazon Basics brand.,6
3,2,2,Keurig K200 lightly used. Has a LED display that controls the amount of coffee it brews and the strength. Holds enough water for about 4-5 uses before needing to refill.,7
3,1,1,"Nikon d5600 with case, battery and 18-55mm kit lens. Great camera with a wide range of features. Has a touch screen, swivel screen. Very lightly used.",8
2,1,1,"Great condition, large electric kettle. Heats up water fast. The pitcher part connects to the base that can be plugged into the wall.",9
3,1,1,"Excellent condition diffuser/humidifier. The shell of the diffuser can change color/light up. About 6"" diameter, 5"" tall. Works great:)",11
2,1,1,"12 oz french press, wood finish. Pretty easy to use by adding a ground coffee to chamber, pouring hot water over the grounds, then letting steep before pressing down the filter plunger! Makes a great cup o' joe!   Fun fact: French press coffee is the favorite choice of the founder of Starbucks, Howard Schultz!",12
3,1,1,Essentially brand new silicon oven mitts. Super good at protecting against heat. They're silicon so there's no risk of them melting too!,13
3,1,1,Really cool light bulb filled with salt crystals to produce a rose tinted light. Fits the standard lamp.,14
3,1,1,"Excellent condition, water resistant JBL Charge 3 speaker. Super strong base and sound both inside and out. Bluetooth connection. Comes with hardshell case and charger.",15
3,1,1,Portable bike pump small enough to fit easily into a bag or pocket. Strong enough to fully inflate mountain/hybrid bike tires. Might take some effort if you were trying to fully inflate road bike tires to high PSIs. Super handy!,16
1,3,2,"$60/year for a set of Second Semester LitHum Books! Includes: -New Testament -Thucydides History of the Peloponnesian War -Austen Pride and Prejudice -St Augustine Confessions -Cervantes Don Quixote -Shakespeare King Lear -Milton Paradise Lost -Ovid Heroides -Woolf To The Lighthouse These books are in excellent condition, most of them are brand new. Because I live far from the city, the price includes a small additional shipping fee.",17
3,2,2,"$40/year Like-new Chemical Principles 8e Zuhmdahl-Decoste textbook! This is the required textbook for general and intensive chem (for all professors). There is a “Survival Guide for General Chemistry” supplementary textbook thrown in for free! There are no markings inside. Because I live outside the city, the price includes a small additional shipping fee. Thank you!",18
3,1,1,"$15/year Laboratory Manual for General Chemistry by Ulichny and Hansen. This is the required textbook for gen chem lab and can only be purchased at Columbia’s bookstore. No markings :) Because I live outside the city, the price includes a small additional shipping fee.",19
2,2,1,"$15/year Hubbard and O’Brien 4e Principles of Econ textbook. Works for Gulati/Mussatti’s Principles of Econ class. Because I live outside the city, the price includes a small shipping price.",20
3,2,1,"$30/year Human Physiology: An Integrated Approach by Silverthorn 8e. Like new textbook required for Physiology, can be used for Glendining (Barnard) or Price (Columbia).",21
3,2,2,"$60/year for BOTH required textbooks for Mowsh bio’s class. World of the Cell 9e by Hardin-Bertoni and Life 10e Sadava. Like new! Because I live outside the city, the price reflects an additional small shipping fee.",22
3,2,3,Excellent condition queen-sized air mattress with built in pump!,23
2,2,1,"Good condition Sceptre monitor, connects with HDMI (1600x900 HDMI VGA 75hz 5ms LED Monitor)",24
3,1,2,Great condition Westinghouse monitor/tv. It's technically a TV and comes with a remote but also serves as a great monitor (which is how I've been using it). Model number: WD24FT1360,25
3,1,1,Real solid HDMI cord. 10ft length makes it easy to use.,26
2,2,2,"A twin mattress in good condition, somewhat used, includes an electric air pump and an inflatable pillow.",27
2,2,1,"Solid salt lamp, about 7"" tall. Emits a nice rose light hue.",28
2,1,1,Swiffer stick! Solid construction in good condition. It can be taken apart for easy storage. Does not come with the wet/dry swiffer pads.,29
2,1,1,Mac Book Pro T-tip charger with the extension cord wall plug. Reaches a total of about 8ft. Works as it should!,30
3,1,1,LED string lights with about 65 little white-light bulbs. It plugs into the wall and has about 8ft of wire without lights before about another 12ft of wire with the lights. These do not change color.,31
2,1,1,"This is a steamer with a water measuring cup plus add-ons for the steamer head, such as a brush. Works well :)",32
3,1,1,Steel dolly thats perfect for moving heavy electronics or things that are compact and heavy. Pretty good condition.,33
3,1,1,"Great iPad Mini 3 that comes with a solid Otterbox case. I haven't really used it since getting it so no dings or scratches or anything. I will clear memory on it and give you the password when requested. You can download necessary apps, but you'll need to log into your Apple account (as I will clear mine out).",34
2,2,2,"Fall book set comes with Nicomachean Ethics, Leviathan, Politics, Political Writings of John Locke, The Basics of Political Writing of Rousseau, The Prince, Republic, The Discourse, The Quran, and The Bible. Editions are as seen in photo. No highlighting or marked up pages and would like to keep them like that.",35
3,1,1,"Really good quality, no highlights, no markups.",36
2,3,3,"Full set of CC books for the whole year as listed by my professor Michelle Chun. The books are lightly annotated (but they're helpful notes!) and I bought them used, though they're all in good condition.",37
3,1,1,"Excellent condition mini projector comes with tri-pod, remote, and hdmi cord. Works great in projecting a movie/tv as it's rated for 1080p.",38
3,1,1,"Max rental period: 2 weeks.  This game bundle comes with Monopoly, Risk, and Settlers of Catan, delivering a variety of captivating and strategy-driven board game experience! Order this item, and Hubbub + Hex will clarify payment and delivery details over email. You can learn more about our company at https://hexnyc.com/.  Thank you!",39
3,1,1,"Max rental period: 2 weeks.  This game bundle comes with Spyfall 2, Codenames, Secret Hitler, and One-Night Ultimate Werewolf, perfect for arousing suspicion among friends! Enjoy a variety of gameplay lengths to accommodate last-minute changes in plans. Order this item, and Hubbub + Hex will clarify payment and delivery details over email. You can learn more about our company at https://hexnyc.com/. Thank you!",40
3,1,1,"Max rental period: 2 weeks.   This game bundle comes with Pandemic, Forbidden Island, and Dead of Winter. Escape to a reality that's (unfortunately) not too different from our own... Order this item, and Hubbub + Hex will clarify payment and delivery details over email. You can learn more about our company at https://hexnyc.com/. Thank you!",41
3,1,1,"Max rental period: 2 weeks.  This game bundle comes with Cards Against Humanity and 10+ extensions (as seen in photo). Not for the faint of heart!  Order this item, and Hubbub + Hex will clarify payment and delivery details over email. You can learn more about our company at https://hexnyc.com/. Thank you!",42
3,1,1,Excellent condition small essential oil diffuser. Has a cool LED backlight that changes color. Comes with a few essential oil scents if desired.,43
3,1,1,"Conair hair dryer in great condition! The cord wraps up into the handle, and the handle can fold for compact storage! Has multiple temperature modes.",44
3,3,3,"Whirlpool 2.7 cu ft Mini Refrigerator, brand new condition-- great for college dorms and short term apartments!",45
3,1,2,"Microwave, lightly used, great for apartments and college dorms. Available for purchase if interested.",46
3,1,1,"Awesome new condition Fire TV Stick comes with the the remote. Allows you to convert a regular TV that has an HDMI port to a Smart TV that can access apps like Netflix, Hulu, Youtube, Disney+, HBO, Prime Video, etc.",47
3,3,2,New condition 15lbs dumbbells pair! Rubber encased steel. Ignite brand.,48
2,2,2,Good condition table-top ironing board and Black & Decker brand iron. Both work well and store easily,49
3,3,2,New condition 15lbs dumbbells pair! Rubber encased steel. Ignite brand.,50
2,2,2,"SPT brand tower fan with a range of different timer, speed, and mode settings. Occasionally turns off by itself for some reason but you just need to hit the power button again.  I like it because its light weight and powerful!",51
3,1,1,"Great condition Seville Classics brand small tower fan. It's about 20"" tall and is great for a desk or bed-side table. Has various timer/oscillation modes and is pretty powerful for its size.",52
3,1,1,Solid U-lock and key! High strength steel material. This type of lock is critical for NYC as other chain/rope locks make for an easy target.,53
3,2,1,"This set comes with a drill/screw gun, a range of drill bits, and a range of screw bits. I have various phillips, star, and hex bits too!",54
3,1,1,"Basic tool set includes hammer, screw drivers, pliers, wire cutter, allen wrenchs/hex keys. Super useful!",55
3,2,2,"Getting a good night’s sleep is quick and easy with the Intex Comfort Plush Queen with Built-In Pump. This comfortable, durable air mattress gives plenty of room to get cozy, featuring a flocked top and sides and a sturdy vinyl bottom. The integrated AC electric pump inflates the bed in just about 4 and a half minutes, letting you set up and get to sleep quicker.",56
3,2,2,Loose-leaf copy of the calc textbook used for most Calc I-IV classes. Comes in a solid 3-ring binder. ISBN-13: 978-1285741550. Excellent condition!,57
3,1,1,Great condition TI-84 Plus. Comes with new batteries! Works well and is reliable.,58
3,1,1,Great condition TI-84 Plus. Comes with new batteries! Works well and is reliable.,59
2,1,2,"4 level metal shoe rack, slightly worn, but completely useful still!",60
3,1,1,Basically new paperback copy of Dante's Inferno with no annotations!,61
3,1,1,Very good condition text and workbook with almost no writing inside!,62
3,1,1,Very good condition with no writing inside!,63
3,1,1,Great condition with basically no writing inside!,64
3,1,1,"Basically new workbook, paperback!",65
3,3,2,Excellent condition mini-fridge ~2.7 cu.ft. Keeps things cold and works as it should.,66
3,2,3,Awesome condition large chalk board that comes with chalk and magnets! Solid material and relatively light. Makes for cool decor!,68
3,1,2,"Great condition Lasko oscillating tower fan. Has 3 speed modes and timer. It's about 36"" tall.",69
3,2,2,Excellent condition armless swivel desk chair with mesh back. It's not super fancy but it's comfy to sit on all day and the height is adjustable.,70
3,3,3,9ft hammock stand in excellent condition. Comes in a carrying bag. It's a bit heavy but is sturdy.,71
3,1,1,"Perfect for second-hand sofas and rugs! Permanently removes tough spots and stains. The built-in HeatWave technology helps maintain consistent water temperature. It's a powerful, compact, portable cleaning machine. *Solution not included",72
3,1,1,Excellent smartphone tripod. Versatile. Perfect for Zoom meetings and/or FaceTime,73
2,1,1,Great condition Kaplan vocab review flash cards. 500 different cards! Good way to study for the GRE,74
3,2,2,"Great condition medium-sized Kenmore mini-fridge, approx 2.5 cu ft, and 17.5"" x 18"" x 26"". Has an a small interior freezer compartment too!",75
3,1,1,Awesome condition iron with various steam/spray functions! Heats up fast and is easy to maneuver. Volts : 120V. Wattage : 1200W,78
2,2,2,Solid condition floor lamp. Stands about 6ft tall and has two bulbs that can be separately controlled. Does a good job at brightening up a room,79
3,3,2,"Great condition small mini-fridge. It's about 1.7 cu ft with approx dimensions of 18.5 x 17.52 x 19.72 inches. It also has a little interior freezer compartment that gets extra cold, great for icepacks and such but not so great for keeping things like ice cream really frozen.",80
3,1,1,40 ft of LED fairy lights! It can either be plugged into the wall directly or you could plug the USB into a computer or external battery pack if desired. The remote allows you to cycle through a bunch of different colors and different light modes. It's can be easily hung using command hooks or tape.,81
3,2,2,"Really solid Samsung microwave/convection oven combo. About 1.1 cu ft, and approx 12"" x 20"" x 19."" It has various cook modes and and LED display. The convection oven features allow you to brown and crisp your food on the outside just like an oven. It also has a special sensor that automatically knows when your food is warmed up sufficiently. 10/10 would recommend!",82
2,1,1,Solid vertical full-length mirror. It doesn't have hooks to hang over a door but is light enough that a couple velcro command strips can be used to hang it essentially on any surface.,83
3,1,1,"Solid Discraft Ultrastar frisbee. It's 175g so it flies pretty steadily. It's also technically glow in the dark, but I've never really used it at night so I cant attest to how much it actually glows.",84
