id,name,price,is_available,is_featured,dt_created,lister_id,is_locked,is_routed,last_locked,address_num,address_street,address_apt,address_zip
1,Mini Fridge - Medium,140,TRUE,TRUE,2020-08-29 18:10:36,1,FALSE,FALSE,0,70,Morningside Drive,,10027
2,Black & Decker Blender - Small,25,TRUE,FALSE,2020-08-30 2:53:38,2,FALSE,FALSE,0,70,Morningside Drive,,10027
3,Desk Lamp,15,TRUE,FALSE,2020-08-30 22:05:52,2,FALSE,FALSE,0,70,Morningside Drive,,10027
5,Twin Air Mattress,120,FALSE,FALSE,2020-08-30 22:05:52,2,FALSE,FALSE,0,70,Morningside Drive,,10027
6,20 lb Dumbbell Pair,150,FALSE,FALSE,2020-08-30 22:05:52,2,FALSE,FALSE,0,70,Morningside Drive,,10027
7,Keurig,50,TRUE,FALSE,2020-09-01 4:41:10,2,FALSE,FALSE,0,70,Morningside Drive,,10027
8,Nikon d5600,600,TRUE,FALSE,2020-09-01 4:41:10,2,FALSE,FALSE,0,70,Morningside Drive,,10027
9,Electric Kettle/Hot Water Heater,20,TRUE,FALSE,2020-09-01 4:41:10,2,FALSE,FALSE,0,70,Morningside Drive,,10027
11,Essential Oil Diffuser,10,TRUE,TRUE,2020-09-02 2:12:35,2,FALSE,FALSE,0,70,Morningside Drive,,10027
12,French Press,8,TRUE,FALSE,2020-09-02 2:12:35,2,FALSE,FALSE,0,70,Morningside Drive,,10027
13,Silicon Oven Mitts,10,TRUE,FALSE,2020-09-02 2:12:35,2,FALSE,FALSE,0,70,Morningside Drive,,10027
14,Salt Lamp Light Bulb,5,TRUE,FALSE,2020-09-02 2:12:35,2,FALSE,FALSE,0,70,Morningside Drive,,10027
15,JBL Charge 3,73,TRUE,TRUE,2020-09-02 2:12:35,2,FALSE,FALSE,0,70,Morningside Drive,,10027
16,Handheld Bike Pump,10,FALSE,FALSE,2020-09-02 2:12:35,2,FALSE,FALSE,0,70,Morningside Drive,,10027
17,LitHum Second Sem Books,60,TRUE,FALSE,2020-09-02 5:05:29,6,FALSE,FALSE,0,70,Morningside Drive,,10027
18,General/Intensive Chemistry Textbooks,40,TRUE,FALSE,2020-09-02 5:05:29,6,FALSE,FALSE,0,70,Morningside Drive,,10027
19,Manual for Gen Chem Lab,15,TRUE,FALSE,2020-09-02 5:05:29,6,FALSE,FALSE,0,70,Morningside Drive,,10027
20,Principles of Econ Textbook,15,TRUE,FALSE,2020-09-02 5:05:29,6,FALSE,FALSE,0,70,Morningside Drive,,10027
21,Physiology Textbook,30,TRUE,FALSE,2020-09-02 5:05:29,6,FALSE,FALSE,0,70,Morningside Drive,,10027
22,Mowsh Bio Textbooks,60,TRUE,FALSE,2020-09-02 5:05:29,6,FALSE,FALSE,0,70,Morningside Drive,,10027
23,Queen Air Mattress,80,TRUE,FALSE,2020-09-02 20:10:52,2,FALSE,FALSE,0,70,Morningside Drive,,10027
